"phecode","icd10"
"023","A00"
"089","A00"
"089.1","A00"
526,"A00"
526.1,"A00"
"023","A00.0"
"089","A00.0"
"089.1","A00.0"
526,"A00.0"
526.1,"A00.0"
"023","A00.1"
"089","A00.1"
"089.1","A00.1"
526,"A00.1"
526.1,"A00.1"
"023","A00.9"
"089","A00.9"
"089.1","A00.9"
526,"A00.9"
526.1,"A00.9"
"001","A01"
"089","A01"
"089.1","A01"
526,"A01"
"001","A01.0"
"089","A01.0"
"089.1","A01.0"
526,"A01.0"
526.1,"A01.0"
"001","A01.00"
"089","A01.00"
"089.1","A01.00"
526,"A01.00"
526.1,"A01.00"
"001","A01.01"
"089","A01.01"
"089.1","A01.01"
320,"A01.01"
320.1,"A01.01"
320.11,"A01.01"
"001","A01.02"
"089","A01.02"
"089.1","A01.02"
410,"A01.02"
410.3,"A01.02"
"001","A01.03"
"089","A01.03"
"089.1","A01.03"
468,"A01.03"
468.2,"A01.03"
702,"A01.04"
702.1,"A01.04"
"001","A01.05"
"089","A01.05"
"089.1","A01.05"
701,"A01.05"
701.1,"A01.05"
"001","A01.09"
"089","A01.09"
"089.1","A01.09"
526,"A01.09"
526.1,"A01.09"
"001","A01.1"
"089","A01.1"
"089.1","A01.1"
526,"A01.1"
"001","A01.2"
"089","A01.2"
"089.1","A01.2"
526,"A01.2"
"001","A01.3"
"089","A01.3"
"089.1","A01.3"
526,"A01.3"
"001","A01.4"
"089","A01.4"
"089.1","A01.4"
526,"A01.4"
"001","A02"
"089","A02"
"089.1","A02"
526,"A02"
526.1,"A02"
"001","A02.0"
"089","A02.0"
"089.1","A02.0"
526,"A02.0"
526.1,"A02.0"
"001","A02.1"
"089","A02.1"
"089.1","A02.1"
"092","A02.1"
"092.2","A02.1"
"001","A02.2"
"089","A02.2"
"089.1","A02.2"
"001","A02.20"
"089","A02.20"
"089.1","A02.20"
"001","A02.21"
"089","A02.21"
"089.1","A02.21"
320,"A02.21"
320.1,"A02.21"
320.11,"A02.21"
"001","A02.22"
"089","A02.22"
"089.1","A02.22"
468,"A02.22"
468.2,"A02.22"
702,"A02.23"
702.1,"A02.23"
"001","A02.24"
"089","A02.24"
"089.1","A02.24"
701,"A02.24"
701.1,"A02.24"
"001","A02.25"
"089","A02.25"
"089.1","A02.25"
581,"A02.25"
581.1,"A02.25"
"001","A02.29"
"089","A02.29"
"089.1","A02.29"
"001","A02.8"
"089","A02.8"
"089.1","A02.8"
"001","A02.9"
"089","A02.9"
"089.1","A02.9"
"027","A03"
"089","A03"
"089.1","A03"
526,"A03"
526.1,"A03"
526.13,"A03"
"027","A03.0"
"089","A03.0"
"089.1","A03.0"
526,"A03.0"
526.1,"A03.0"
526.13,"A03.0"
"027","A03.1"
"089","A03.1"
"089.1","A03.1"
526,"A03.1"
526.1,"A03.1"
526.13,"A03.1"
"027","A03.2"
"089","A03.2"
"089.1","A03.2"
526,"A03.2"
526.1,"A03.2"
526.13,"A03.2"
"027","A03.3"
"089","A03.3"
"089.1","A03.3"
526,"A03.3"
526.1,"A03.3"
526.13,"A03.3"
"027","A03.8"
"089","A03.8"
"089.1","A03.8"
526,"A03.8"
526.1,"A03.8"
526.13,"A03.8"
"027","A03.9"
"089","A03.9"
"089.1","A03.9"
526,"A03.9"
526.1,"A03.9"
526.13,"A03.9"
"089","A04"
"089.1","A04"
"003","A04.0"
"089","A04.0"
"089.1","A04.0"
526,"A04.0"
526.1,"A04.0"
526.11,"A04.0"
"003","A04.1"
"089","A04.1"
"089.1","A04.1"
526,"A04.1"
526.1,"A04.1"
526.11,"A04.1"
"003","A04.2"
"089","A04.2"
"089.1","A04.2"
526,"A04.2"
526.1,"A04.2"
526.11,"A04.2"
"003","A04.3"
"089","A04.3"
"089.1","A04.3"
526,"A04.3"
526.1,"A04.3"
526.11,"A04.3"
"003","A04.4"
"089","A04.4"
"089.1","A04.4"
526,"A04.4"
526.1,"A04.4"
526.11,"A04.4"
"030","A04.5"
"089","A04.5"
"089.1","A04.5"
526,"A04.5"
526.1,"A04.5"
"032","A04.6"
"089","A04.6"
"089.1","A04.6"
526,"A04.6"
526.1,"A04.6"
"015","A04.7"
"015.2","A04.7"
"089","A04.7"
"089.1","A04.7"
526,"A04.7"
526.1,"A04.7"
526.12,"A04.7"
"015","A04.71"
"015.2","A04.71"
"089","A04.71"
"089.1","A04.71"
526,"A04.71"
526.1,"A04.71"
526.12,"A04.71"
"015","A04.72"
"015.2","A04.72"
"089","A04.72"
"089.1","A04.72"
526,"A04.72"
526.1,"A04.72"
526.12,"A04.72"
"089","A04.8"
"089.1","A04.8"
526,"A04.8"
526.1,"A04.8"
"089","A04.9"
"089.1","A04.9"
526,"A04.9"
526.1,"A04.9"
"089","A05"
"089.1","A05"
526,"A05"
526.1,"A05"
"002","A05.0"
"089","A05.0"
"089.1","A05.0"
526,"A05.0"
526.1,"A05.0"
"015","A05.1"
"015.3","A05.1"
"089","A05.1"
"089.1","A05.1"
526,"A05.1"
526.1,"A05.1"
"015","A05.2"
"015.1","A05.2"
"089","A05.2"
"089.1","A05.2"
526,"A05.2"
526.1,"A05.2"
"023","A05.3"
"089","A05.3"
"089.1","A05.3"
526,"A05.3"
526.1,"A05.3"
"028","A05.4"
"089","A05.4"
"089.1","A05.4"
526,"A05.4"
526.1,"A05.4"
"023","A05.5"
"089","A05.5"
"089.1","A05.5"
526,"A05.5"
526.1,"A05.5"
"052","A05.8"
"052.3","A05.8"
"052.32","A05.8"
"089","A05.8"
"089.2","A05.8"
526,"A05.8"
526.1,"A05.8"
"089","A05.9"
"089.1","A05.9"
526,"A05.9"
"084","A06"
"084.1","A06"
526,"A06"
526.3,"A06"
"084","A06.0"
"084.1","A06.0"
526,"A06.0"
526.3,"A06.0"
"084","A06.1"
"084.1","A06.1"
526,"A06.1"
526.3,"A06.1"
"084","A06.2"
"084.1","A06.2"
526,"A06.2"
526.3,"A06.2"
"084","A06.3"
"084.1","A06.3"
526,"A06.3"
526.3,"A06.3"
"084","A06.4"
"084.1","A06.4"
546,"A06.4"
546.2,"A06.4"
"084","A06.5"
"084.1","A06.5"
482,"A06.5"
482.1,"A06.5"
482.11,"A06.5"
"084","A06.6"
"084.1","A06.6"
322,"A06.6"
322.4,"A06.6"
"084","A06.7"
"084.1","A06.7"
660,"A06.7"
"084","A06.8"
"084.1","A06.8"
"084","A06.81"
"084.1","A06.81"
592,"A06.81"
592.1,"A06.81"
"084","A06.82"
"084.1","A06.82"
"084","A06.89"
"084.1","A06.89"
526,"A06.89"
"084","A06.9"
"084.1","A06.9"
526,"A06.9"
526.3,"A06.9"
"084","A07"
526,"A07"
"084","A07.0"
526,"A07.0"
526.3,"A07.0"
"084","A07.1"
"084.7","A07.1"
526,"A07.1"
526.3,"A07.1"
"084","A07.2"
"084.8","A07.2"
526,"A07.2"
526.3,"A07.2"
"084","A07.3"
526,"A07.3"
526.3,"A07.3"
"084","A07.4"
526,"A07.4"
526.3,"A07.4"
"084","A07.8"
526,"A07.8"
526.3,"A07.8"
"084","A07.9"
526,"A07.9"
526.3,"A07.9"
"089","A08"
"089.2","A08"
526,"A08"
526.2,"A08"
"063","A08.0"
"089","A08.0"
"089.2","A08.0"
526,"A08.0"
526.2,"A08.0"
526.21,"A08.0"
526,"A08.1"
526.2,"A08.1"
"064","A08.11"
"089","A08.11"
"089.2","A08.11"
526,"A08.11"
526.2,"A08.11"
"089","A08.19"
"089.2","A08.19"
526,"A08.19"
526.2,"A08.19"
"060","A08.2"
"089","A08.2"
"089.2","A08.2"
526,"A08.2"
526.2,"A08.2"
"089","A08.3"
"089.2","A08.3"
526,"A08.3"
526.2,"A08.3"
"069","A08.31"
"089","A08.31"
"089.2","A08.31"
526,"A08.31"
526.2,"A08.31"
"069","A08.32"
"089","A08.32"
"089.2","A08.32"
526,"A08.32"
526.2,"A08.32"
"089","A08.39"
"089.2","A08.39"
526,"A08.39"
526.2,"A08.39"
"089","A08.4"
"089.2","A08.4"
526,"A08.4"
526.2,"A08.4"
"089","A08.8"
"089.2","A08.8"
526,"A08.8"
526,"A09"
"005","A15"
"005.1","A15"
"089","A15"
"089.1","A15"
460,"A15"
"005","A15.0"
"005.1","A15.0"
"089","A15.0"
"089.1","A15.0"
468,"A15.0"
468.2,"A15.0"
468.29,"A15.0"
"005","A15.4"
"005.1","A15.4"
"089","A15.4"
"089.1","A15.4"
460,"A15.4"
"005","A15.5"
"005.1","A15.5"
"089","A15.5"
"089.1","A15.5"
460,"A15.5"
"005","A15.6"
"005.1","A15.6"
"089","A15.6"
"089.1","A15.6"
460,"A15.6"
491,"A15.6"
"005","A15.7"
"005.1","A15.7"
"089","A15.7"
"089.1","A15.7"
460,"A15.7"
"005","A15.8"
"005.1","A15.8"
"089","A15.8"
"089.1","A15.8"
460,"A15.8"
"005","A15.9"
"005.1","A15.9"
"089","A15.9"
"089.1","A15.9"
460,"A15.9"
"005","A17"
"005.1","A17"
"089","A17"
"089.1","A17"
"005","A17.0"
"005.1","A17.0"
"089","A17.0"
"089.1","A17.0"
320,"A17.0"
320.1,"A17.0"
320.11,"A17.0"
"005","A17.1"
"005.1","A17.1"
"089","A17.1"
"089.1","A17.1"
"005","A17.8"
"005.1","A17.8"
"089","A17.8"
"089.1","A17.8"
"005","A17.81"
"005.1","A17.81"
"089","A17.81"
"089.1","A17.81"
"005","A17.82"
"005.1","A17.82"
"089","A17.82"
"089.1","A17.82"
321,"A17.82"
321.2,"A17.82"
"005","A17.83"
"005.1","A17.83"
"089","A17.83"
"089.1","A17.83"
"005","A17.89"
"005.1","A17.89"
"089","A17.89"
"089.1","A17.89"
"005","A17.9"
"005.1","A17.9"
"089","A17.9"
"089.1","A17.9"
"005","A18"
"005.1","A18"
"089","A18"
"089.1","A18"
"005","A18.0"
"005.1","A18.0"
"089","A18.0"
"089.1","A18.0"
"005","A18.01"
"005.1","A18.01"
"089","A18.01"
"089.1","A18.01"
702,"A18.02"
702.1,"A18.02"
"005","A18.03"
"005.1","A18.03"
"089","A18.03"
"089.1","A18.03"
701,"A18.03"
701.1,"A18.03"
"005","A18.09"
"005.1","A18.09"
"089","A18.09"
"089.1","A18.09"
"005","A18.1"
"005.1","A18.1"
"089","A18.1"
"089.1","A18.1"
"005","A18.10"
"005.1","A18.10"
"089","A18.10"
"089.1","A18.10"
"005","A18.11"
"005.1","A18.11"
"089","A18.11"
"089.1","A18.11"
"005","A18.12"
"005.1","A18.12"
"089","A18.12"
"089.1","A18.12"
"005","A18.13"
"005.1","A18.13"
"089","A18.13"
"089.1","A18.13"
592,"A18.13"
592.2,"A18.13"
"005","A18.14"
"005.1","A18.14"
"089","A18.14"
"089.1","A18.14"
"005","A18.15"
"005.1","A18.15"
"089","A18.15"
"089.1","A18.15"
"005","A18.16"
"005.1","A18.16"
"089","A18.16"
"089.1","A18.16"
"005","A18.17"
"005.1","A18.17"
"089","A18.17"
"089.1","A18.17"
"005","A18.18"
"005.1","A18.18"
"089","A18.18"
"089.1","A18.18"
"005","A18.2"
"005.1","A18.2"
"089","A18.2"
"089.1","A18.2"
177,"A18.2"
177.2,"A18.2"
"005","A18.3"
"005.1","A18.3"
"089","A18.3"
"089.1","A18.3"
"005","A18.31"
"005.1","A18.31"
"089","A18.31"
"089.1","A18.31"
537,"A18.31"
537.1,"A18.31"
"005","A18.32"
"005.1","A18.32"
"089","A18.32"
"089.1","A18.32"
"005","A18.39"
"005.1","A18.39"
"089","A18.39"
"089.1","A18.39"
"005","A18.4"
"005.1","A18.4"
"089","A18.4"
"089.1","A18.4"
660,"A18.4"
660.2,"A18.4"
"005","A18.5"
"005.1","A18.5"
"089","A18.5"
"089.1","A18.5"
"005","A18.50"
"005.1","A18.50"
"089","A18.50"
"089.1","A18.50"
"005","A18.51"
"005.1","A18.51"
"089","A18.51"
"089.1","A18.51"
367,"A18.51"
367.6,"A18.51"
"005","A18.52"
"005.1","A18.52"
"089","A18.52"
"089.1","A18.52"
367,"A18.52"
367.3,"A18.52"
"005","A18.53"
"005.1","A18.53"
"089","A18.53"
"089.1","A18.53"
367,"A18.53"
367.5,"A18.53"
367.53,"A18.53"
"005","A18.54"
"005.1","A18.54"
"089","A18.54"
"089.1","A18.54"
367,"A18.54"
367.5,"A18.54"
367.52,"A18.54"
"005","A18.59"
"005.1","A18.59"
"089","A18.59"
"089.1","A18.59"
"005","A18.6"
"005.1","A18.6"
"089","A18.6"
"089.1","A18.6"
"005","A18.7"
"005.1","A18.7"
"089","A18.7"
"089.1","A18.7"
